
2024/10/11 (19:49:15) | ===> btop++ v.1.4.0
2024/10/11 (19:49:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (11:53:46) | ===> btop++ v.1.4.0
2024/10/12 (11:53:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (17:13:04) | ===> btop++ v.1.4.0
2024/10/12 (17:13:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (17:19:08) | ===> btop++ v.1.4.0
2024/10/12 (17:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (18:05:54) | ===> btop++ v.1.4.0
2024/10/12 (18:05:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (18:10:08) | ===> btop++ v.1.4.0
2024/10/12 (18:10:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (20:13:35) | ===> btop++ v.1.4.0
2024/10/12 (20:13:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (22:04:51) | ===> btop++ v.1.4.0
2024/10/12 (22:04:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (23:17:54) | ===> btop++ v.1.4.0
2024/10/12 (23:17:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (07:59:16) | ===> btop++ v.1.4.0
2024/10/13 (07:59:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (12:52:41) | ===> btop++ v.1.4.0
2024/10/13 (12:52:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (12:55:41) | ===> btop++ v.1.4.0
2024/10/13 (12:55:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (15:44:14) | ===> btop++ v.1.4.0
2024/10/13 (15:44:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (22:12:14) | ===> btop++ v.1.4.0
2024/10/13 (22:12:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (21:11:04) | ===> btop++ v.1.4.0
2024/10/14 (21:11:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:23:35) | ===> btop++ v.1.4.0
2024/10/14 (22:23:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:52:24) | ===> btop++ v.1.4.0
2024/10/14 (22:52:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (20:46:12) | ===> btop++ v.1.4.0
2024/10/16 (20:46:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:19:08) | ===> btop++ v.1.4.0
2024/10/16 (23:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (18:51:50) | ===> btop++ v.1.4.0
2024/10/17 (18:51:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (09:18:41) | ===> btop++ v.1.4.0
2024/10/19 (09:18:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (09:20:17) | ===> btop++ v.1.4.0
2024/10/19 (09:20:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (15:16:48) | ===> btop++ v.1.4.0
2024/10/19 (15:16:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (22:48:51) | ===> btop++ v.1.4.0
2024/10/22 (22:48:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:54:22) | ===> btop++ v.1.4.0
2024/10/27 (10:54:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (19:59:24) | ===> btop++ v.1.4.0
2024/10/27 (19:59:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (21:19:42) | ===> btop++ v.1.4.0
2024/10/27 (21:19:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (21:19:55) | ===> btop++ v.1.4.0
2024/10/27 (21:19:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (21:20:48) | ===> btop++ v.1.4.0
2024/10/27 (21:20:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (21:21:20) | ===> btop++ v.1.4.0
2024/10/27 (21:21:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (21:21:26) | ===> btop++ v.1.4.0
2024/10/27 (21:21:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:20:31) | ===> btop++ v.1.4.0
2024/11/01 (20:20:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:30:59) | ===> btop++ v.1.4.0
2024/11/01 (20:30:59) | WARNING: Intel GPU: Failed to initialize PMU
